label,price,city,Countries,code
Meal for 2 People Mid-range Restaurant Three-course,10.30,Kabul,Afghanistan,KBL
Meal for 2 People Mid-range Restaurant Three-course,34.27,Tirana,Albania,TIA
Meal for 2 People Mid-range Restaurant Three-course,21.75,Algiers,Algeria,ALG
Meal for 2 People Mid-range Restaurant Three-course,50.00,Andorra-La-Vella,Andorra,ALG
Meal for 2 People Mid-range Restaurant Three-course,65.30,Luanda,Angola,LAD
Meal for 2 People Mid-range Restaurant Three-course,25.41,Buenos-Aires,Argentina,LAD
Meal for 2 People Mid-range Restaurant Three-course,37.88,Yerevan,Armenia,EVN
Meal for 2 People Mid-range Restaurant Three-course,64.14,Canberra,Australia,CBR
Meal for 2 People Mid-range Restaurant Three-course,60.00,Vienna,Austria,VIE
Meal for 2 People Mid-range Restaurant Three-course,29.89,Baku,Azerbaijan,BAK
Meal for 2 People Mid-range Restaurant Three-course,101.63,Nassau,Bahamas,NAS
Meal for 2 People Mid-range Restaurant Three-course,53.90,Manama,Bahrain,NAS
Meal for 2 People Mid-range Restaurant Three-course,11.57,Dhaka,Bangladesh,DAC
Meal for 2 People Mid-range Restaurant Three-course,90.08,Bridgetown,Barbados,BGI
Meal for 2 People Mid-range Restaurant Three-course,44.57,Minsk,Belarus,BGI
Meal for 2 People Mid-range Restaurant Three-course,70.00,Brussels,Belgium,BRU
Meal for 2 People Mid-range Restaurant Three-course,22.36,Belmopan,Belize,BRU
Meal for 2 People Mid-range Restaurant Three-course,18.60,Thimphu-Bhutan,Bhutan,BRU
Meal for 2 People Mid-range Restaurant Three-course,21.42,La-Paz,Bolivia,BRU
Meal for 2 People Mid-range Restaurant Three-course,25.62,Sarajevo,Bosnia and Herzegovina,SJJ
Meal for 2 People Mid-range Restaurant Three-course,34.29,Gaborone,Botswana,SJJ
Meal for 2 People Mid-range Restaurant Three-course,38.78,Brasilia,Brazil,BSB
Meal for 2 People Mid-range Restaurant Three-course,21.46,Bandar-Seri-Begawan,Brunei,BSB
Meal for 2 People Mid-range Restaurant Three-course,35.85,Sofia,Bulgaria,TFS
Meal for 2 People Mid-range Restaurant Three-course,25.26,Praia-Cape-Verde,Cabo Verde,TFS
Meal for 2 People Mid-range Restaurant Three-course,27.19,Phnom-Penh,Cambodia,TFS
Meal for 2 People Mid-range Restaurant Three-course,30.49,Yaounde-Cameroon,Cameroon,TFS
Meal for 2 People Mid-range Restaurant Three-course,60.98,Ottawa,Canada,YOW
Meal for 2 People Mid-range Restaurant Three-course,41.77,Santiago,Chile,SCU
Meal for 2 People Mid-range Restaurant Three-course,35.20,Beijing,China,CHG
Meal for 2 People Mid-range Restaurant Three-course,19.36,Bogota,Colombia,BOG
Meal for 2 People Mid-range Restaurant Three-course,40.65,Kinshasa,"Congo, Democratic Republic of the",FIH
Meal for 2 People Mid-range Restaurant Three-course,81.30,San-Jose,Costa Rica,FIH
Meal for 2 People Mid-range Restaurant Three-course,46.48,Zagreb,Croatia,ZAD
Meal for 2 People Mid-range Restaurant Three-course,40.65,Havana,Cuba,HAV
Meal for 2 People Mid-range Restaurant Three-course,50.00,Nicosia,Cyprus,NIC
Meal for 2 People Mid-range Restaurant Three-course,38.69,Prague,Czechia,PRG
Meal for 2 People Mid-range Restaurant Three-course,100.82,Copenhagen,Denmark,CPH
Meal for 2 People Mid-range Restaurant Three-course,60.98,Roseau-Dominica,Dominica,CPH
Meal for 2 People Mid-range Restaurant Three-course,37.92,Santo-Domingo,Dominican Republic,CPH
Meal for 2 People Mid-range Restaurant Three-course,40.65,Quito,Ecuador,UIO
Meal for 2 People Mid-range Restaurant Three-course,25.85,Cairo-Egypt,Egypt,UIO
Meal for 2 People Mid-range Restaurant Three-course,35.57,San-Salvador,El Salvador,UIO
Meal for 2 People Mid-range Restaurant Three-course,60.00,Tallinn,Estonia,QUF
Meal for 2 People Mid-range Restaurant Three-course,30.49,Addis-Ababa,Ethiopia,QUF
Meal for 2 People Mid-range Restaurant Three-course,35.17,Suva,Fiji,SUV
Meal for 2 People Mid-range Restaurant Three-course,80.00,Helsinki,Finland,HEL
Meal for 2 People Mid-range Restaurant Three-course,60.00,Paris,France,PAR
Meal for 2 People Mid-range Restaurant Three-course,36.89,Tbilisi,Georgia,TBS
Meal for 2 People Mid-range Restaurant Three-course,60.00,Berlin,Germany,BER
Meal for 2 People Mid-range Restaurant Three-course,29.08,Accra,Ghana,ACC
Meal for 2 People Mid-range Restaurant Three-course,50.00,Athens,Greece,ATH
Meal for 2 People Mid-range Restaurant Three-course,32.50,Guatemala-City,Guatemala,ATH
Meal for 2 People Mid-range Restaurant Three-course,30.49,Conakry,Guinea,CKY
Meal for 2 People Mid-range Restaurant Three-course,15.47,Bissau-Guinea-Bissau,Guinea-Bissau,CKY
Meal for 2 People Mid-range Restaurant Three-course,51.04,Georgetown,Guyana,CKY
Meal for 2 People Mid-range Restaurant Three-course,86.38,Port-au-prince,Haiti,CKY
Meal for 2 People Mid-range Restaurant Three-course,25.41,Tegucigalpa,Honduras,TGU
Meal for 2 People Mid-range Restaurant Three-course,36.64,Budapest,Hungary,BUD
Meal for 2 People Mid-range Restaurant Three-course,106.01,Reykjavik,Iceland,REK
Meal for 2 People Mid-range Restaurant Three-course,22.21,Delhi,India,DEL
Meal for 2 People Mid-range Restaurant Three-course,22.96,Jakarta,Indonesia,HLP
Meal for 2 People Mid-range Restaurant Three-course,28.65,Tehran,Iran,THR
Meal for 2 People Mid-range Restaurant Three-course,23.22,Baghdad,Iraq,BGW
Meal for 2 People Mid-range Restaurant Three-course,80.00,Dublin,Ireland,DUB
Meal for 2 People Mid-range Restaurant Three-course,86.50,Jerusalem,Israel,JRS
Meal for 2 People Mid-range Restaurant Three-course,70.00,Rome,Italy,ROM
Meal for 2 People Mid-range Restaurant Three-course,66.52,Kingston,Jamaica,KIN
Meal for 2 People Mid-range Restaurant Three-course,40.84,Tokyo,Japan,TYO
Meal for 2 People Mid-range Restaurant Three-course,43.00,Amman,Jordan,AMM
Meal for 2 People Mid-range Restaurant Three-course,33.70,Nairobi,Kenya,NBO
Meal for 2 People Mid-range Restaurant Three-course,18.00,Pristina,Kosovo,PRN
Meal for 2 People Mid-range Restaurant Three-course,52.43,Kuwait-City,Kuwait,PRN
Meal for 2 People Mid-range Restaurant Three-course,24.53,Bishkek,Kyrgyzstan,FRU
Meal for 2 People Mid-range Restaurant Three-course,24.47,Vientiane,Laos,VTE
Meal for 2 People Mid-range Restaurant Three-course,56.91,Beirut,Lebanon,BEY
Meal for 2 People Mid-range Restaurant Three-course,22.57,Maseru,Lesotho,BEY
Meal for 2 People Mid-range Restaurant Three-course,35.92,Tripoli,Libya,TIP
Meal for 2 People Mid-range Restaurant Three-course,50.00,Vilnius,Lithuania,VNO
Meal for 2 People Mid-range Restaurant Three-course,80.00,Luxembourg,Luxembourg,LUX
Meal for 2 People Mid-range Restaurant Three-course,21.56,Antananarivo,Madagascar,TNR
Meal for 2 People Mid-range Restaurant Three-course,29.81,Lilongwe,Malawi,LLW
Meal for 2 People Mid-range Restaurant Three-course,21.53,Kuala-Lumpur,Malaysia,LLW
Meal for 2 People Mid-range Restaurant Three-course,26.29,Male,Maldives,LLW
Meal for 2 People Mid-range Restaurant Three-course,80.00,Valletta,Malta,LLW
Meal for 2 People Mid-range Restaurant Three-course,34.03,Port-Louis,Mauritius,LLW
